latt,temp,AJA,  CNA,   CPA, PTM,     VTM
bcc, 100,0.9995,1.0000,None,  1.0000,1.0000
bcc, 200,0.9811,1.0000,None,  1.0000,1.0000
bcc, 300,0.9281,1.0000,None,  1.0000,1.0000
bcc, 400,0.8626,1.0000,None,  1.0000,1.0000
bcc, 500,0.7907,1.0000,None,  1.0000,1.0000
bcc, 600,0.7242,0.9998,None,  1.0000,1.0000
bcc, 700,0.6695,0.9991,None,  1.0000,1.0000
bcc, 800,0.6134,0.9967,None,  1.0000,1.0000
bcc, 900,0.5678,0.9904,None,  1.0000,0.9981
bcc,1000,0.5391,0.9749,None,  0.9994,0.9938
bcc,1100,0.5125,0.9558,None,  0.9987,0.9868
bcc,1200,0.4804,0.9150,None,  0.9962,0.9709
bcc,1300,0.4627,0.8657,None,  0.9915,0.9498
bcc,1400,0.4446,0.8087,None,  0.9830,0.9215
bcc,1500,0.4257,0.7368,None,  0.9694,0.8830
bcc,1600,0.3999,0.6278,None,  0.9444,0.8017
bcc,1700,0.3877,0.5252,None,  0.9016,0.7168
bcc,1800,0.3634,0.4209,None,  0.8545,0.6309
bcc,1900,0.3411,0.2995,None,  0.7611,0.4892
bcc,2000,0.2863,0.1561,None,  0.5234,0.2955
fcc, 100,1.0000,1.0000,None,  1.0000,0.2351 
fcc, 200,1.0000,1.0000,None,  1.0000,0.2465 
fcc, 300,1.0000,1.0000,None,  1.0000,0.2467 
fcc, 400,0.9976,0.9960,None,  1.0000,0.2471 
fcc, 500,0.9882,0.9860,None,  1.0000,0.2448 
fcc, 600,0.9659,0.9538,None,  0.9999,0.2524 
fcc, 700,0.9146,0.8679,None,  0.9993,0.2489 
fcc, 800,0.8381,0.7462,None,  0.9950,0.2517 
fcc, 900,0.7128,0.5566,None,  0.9776,0.2426 
fcc,1000,0.5731,0.3753,None,  0.9360,0.2417 
fcc,1100,0.3704,0.1669,None,  0.7891,0.2183 
hcp, 100,1.0000,1.0000,None,  1.0000,0.6293 
hcp, 200,0.9997,1.0000,None,  1.0000,0.6233 
hcp, 300,0.9973,0.9998,None,  1.0000,0.6223 
hcp, 400,0.9921,0.9990,None,  1.0000,0.6233 
hcp, 500,0.9818,0.9915,None,  1.0000,0.6142 
hcp, 600,0.9589,0.9756,None,  0.9999,0.6216 
hcp, 700,0.9415,0.9526,None,  0.9999,0.6265 
hcp, 800,0.9068,0.8981,None,  0.9996,0.6144 
hcp, 900,0.8706,0.8462,None,  0.9984,0.6128 
hcp,1000,0.8346,0.7802,None,  0.9974,0.6147 
hcp,1100,0.7881,0.6962,None,  0.9939,0.6146 
hcp,1200,0.7426,0.6082,None,  0.9887,0.6103 
hcp,1300,0.7033,0.5392,None,  0.9806,0.6071 
hcp,1400,0.6597,0.4645,None,  0.9714,0.6132 
hcp,1500,0.6114,0.3877,None,  0.9572,0.5975 
hcp,1600,0.5574,0.3160,None,  0.9396,0.6013 
hcp,1700,0.5144,0.2615,None,  0.9196,0.5918 
hcp,1800,0.4830,0.2189,None,  0.8992,0.5900 
hcp,1900,0.4462,0.1791,None,  0.8738,0.5778 
hcp,2000,0.4022,0.1417,None,  0.8355,0.5697 
hcp,2100,0.3675,0.0990,None,  0.7906,0.5589 
hcp,2200,0.3323,0.0718,None,  0.7322,0.5303 
cd,  100,None,  1.0000,1.0000,1.0000,None
cd,  200,None,  1.0000,1.0000,1.0000,None
cd,  300,None,  1.0000,1.0000,1.0000,None
cd,  400,None,  1.0000,1.0000,1.0000,None
cd,  500,None,  1.0000,1.0000,1.0000,None
cd,  600,None,  1.0000,1.0000,1.0000,None
cd,  700,None,  1.0000,1.0000,1.0000,None
cd,  800,None,  1.0000,1.0000,1.0000,None
cd,  900,None,  1.0000,1.0000,1.0000,None
cd, 1000,None,  1.0000,1.0000,1.0000,None
cd, 1100,None,  0.9999,0.9999,1.0000,None
cd, 1200,None,  1.0000,1.0000,1.0000,None
cd, 1300,None,  0.9995,1.0000,1.0000,None
cd, 1400,None,  0.9987,1.0000,1.0000,None
cd, 1500,None,  0.9970,0.9997,1.0000,None
cd, 1600,None,  0.9940,0.9987,1.0000,None
cd, 1700,None,  0.9864,0.9976,1.0000,None
cd, 1800,None,  0.9801,0.9922,0.9988,None
cd, 1900,None,  0.9613,0.9842,0.9972,None
cd, 2000,None,  0.9209,0.9649,0.9901,None
hd,   20,None,  1.0000,1.0000,1.0000,None
hd,   40,None,  1.0000,1.0000,1.0000,None
hd,   60,None,  1.0000,1.0000,1.0000,None
hd,   80,None,  1.0000,1.0000,1.0000,None
hd,  100,None,  1.0000,1.0000,1.0000,None
hd,  120,None,  0.9999,1.0000,1.0000,None
hd,  140,None,  0.9999,1.0000,1.0000,None
hd,  160,None,  0.9998,1.0000,1.0000,None
hd,  180,None,  0.9992,0.9996,1.0000,None
hd,  200,None,  0.9976,0.9990,1.0000,None
hd,  220,None,  0.9947,0.9980,1.0000,None
hd,  240,None,  0.9900,0.9965,0.9998,None
hd,  260,None,  0.9851,0.9931,1.0000,None
hd,  280,None,  0.9725,0.9873,0.9998,None
hd,  300,None,  0.9513,0.9781,0.9994,None
hd,  320,None,  0.9400,0.9630,0.9990,None
hd,  340,None,  0.8821,0.9398,0.9968,None
sc,  100,None,  None,  None,  1.0000,None 
sc,  200,None,  None,  None,  1.0000,None 
sc,  300,None,  None,  None,  1.0000,None 
sc,  400,None,  None,  None,  1.0000,None 
sc,  500,None,  None,  None,  1.0000,None 
sc,  600,None,  None,  None,  0.9999,None 
sc,  700,None,  None,  None,  0.9998,None 
sc,  800,None,  None,  None,  0.9986,None 
sc,  900,None,  None,  None,  0.9950,None 
sc, 1000,None,  None,  None,  0.9828,None 
sc, 1100,None,  None,  None,  0.9539,None 
sc, 1200,None,  None,  None,  0.8836,None 
